datetime,cartPos,cartVel,pendPos,,pendVel,action,cartController,exploration
13:11.9,319.93,0,359.29,180,0,0,Gamepad,0
13:11.9,319.93,0,359.29,180,0,0,Gamepad,0
13:11.9,319.93,0,359.29,180,0,0,Gamepad,0
13:11.9,319.93,0,359.29,180,0,0,Gamepad,0
13:11.9,319.93,0,359.29,180,0,0,Gamepad,0
13:12.0,319.93,0,359.29,180,0,0,Gamepad,0
13:12.0,319.93,0,359.29,180,0,0,Gamepad,0
13:12.0,319.93,0,359.29,180,0,0,Gamepad,0
13:12.0,319.93,0,359.29,180,0,0,Gamepad,0
13:12.0,319.93,0,359.29,180,0,0,Gamepad,0
13:12.1,319.93,0,359.29,180,0,0,Gamepad,0
13:12.1,319.93,0,359.29,180,0,0,Gamepad,0
13:12.1,319.93,0,359.29,180,0,0,Gamepad,0
13:12.1,319.93,0,359.29,180,0,0,Gamepad,0
13:12.1,319.93,0,359.29,180,0,0,Gamepad,0
13:12.2,319.93,0,359.29,180,0,0,Gamepad,0
13:12.2,319.93,0,359.29,180,0,0,Gamepad,0
13:12.2,319.93,0,359.29,180,0,0,Gamepad,0
13:12.2,319.93,0,359.29,180,0,0,Gamepad,0
13:12.2,319.93,0,0.29,181,-359,0,Gamepad,0
13:12.3,319.93,0,359.29,180,359,0,Gamepad,0
13:12.3,319.93,0,359.29,180,0,0,Gamepad,0
13:12.3,319.93,0,359.29,180,0,0,Gamepad,0
13:12.3,319.93,0,359.29,180,0,0,Gamepad,0
13:12.3,319.93,0,359.29,180,0,0,Gamepad,0
13:12.4,319.93,0,359.29,180,0,0,Gamepad,0
13:12.4,319.93,0,359.29,180,0,0,Gamepad,0
13:12.4,319.93,0,359.29,180,0,0,Gamepad,0
13:12.4,319.93,0,359.29,180,0,0,Gamepad,0
13:12.4,319.93,0,359.29,180,0,0,Gamepad,0
13:12.4,319.93,0,359.29,180,0,0,Gamepad,0
13:12.5,319.93,0,359.29,180,0,0,Gamepad,0
13:12.5,319.93,0,359.29,180,0,0,Gamepad,0
13:12.5,319.93,0,359.29,180,0,0,Gamepad,0
13:12.5,319.93,0,359.29,180,0,0,Gamepad,0
13:12.6,319.93,0,359.29,180,0,0,Gamepad,0
13:12.6,319.93,0,359.29,180,0,0,Gamepad,0
13:12.6,319.93,0,359.29,180,0,0,Gamepad,0
13:12.6,319.93,0,359.29,180,0,0,Gamepad,0
13:12.6,319.93,0,359.29,180,0,0,Gamepad,0
13:12.6,319.93,0,359.29,180,0,0,Gamepad,0
13:12.7,319.93,0,359.29,180,0,0,Gamepad,0
13:12.7,319.93,0,359.29,180,0,0,Gamepad,0
13:12.7,319.93,0,359.29,180,0,0,Gamepad,0
13:12.7,319.93,0,359.29,180,0,0,Gamepad,0
13:12.8,319.93,0,359.29,180,0,0,Gamepad,0
13:12.8,319.93,0,359.29,180,0,0,Gamepad,0
13:12.8,319.93,0,359.29,180,0,0,Gamepad,0
13:12.8,319.93,0,359.29,180,0,0,Gamepad,0
13:12.8,319.93,0,359.29,180,0,0,Gamepad,0
13:12.8,319.93,0,359.29,180,0,0,Gamepad,0
13:12.9,319.93,0,359.29,180,0,0,Gamepad,0
13:12.9,319.93,0,359.29,180,0,0,Gamepad,0
13:12.9,319.93,0,359.29,180,0,0,Gamepad,0
13:12.9,319.93,0,359.29,180,0,0,Gamepad,0
13:13.0,319.93,0,359.29,180,0,0,Gamepad,0
13:13.0,319.93,0,359.29,180,0,0,Gamepad,0
13:13.0,319.93,0,359.29,180,0,0,Gamepad,0
13:13.0,319.93,0,359.29,180,0,0,Gamepad,0
13:13.0,319.93,0,359.29,180,0,0,Gamepad,0
13:13.0,319.93,0,359.29,180,0,0,Gamepad,0
13:13.1,319.93,0,359.29,180,0,0,Gamepad,0
13:13.1,319.93,0,359.29,180,0,0,Gamepad,0
13:13.1,319.93,0,359.29,180,0,0,Gamepad,0
13:13.1,319.93,0,359.29,180,0,0,Gamepad,0
13:13.2,319.93,0,359.29,180,0,0,Gamepad,0
13:13.2,319.93,0,359.29,180,0,0,Gamepad,0
13:13.2,319.93,0,359.29,180,0,0,Gamepad,0
13:13.2,319.93,0,359.29,180,0,0,Gamepad,0
13:13.2,319.93,0,359.29,180,0,0,Gamepad,0
13:13.2,319.93,0,359.29,180,0,0,Gamepad,0
13:13.3,319.93,0,359.29,180,0,0,Gamepad,0
13:13.3,319.93,0,359.29,180,0,0,Gamepad,0
13:13.3,319.93,0,359.29,180,0,0,Gamepad,0
13:13.3,319.93,0,359.29,180,0,0,Gamepad,0
13:13.4,319.93,0,359.29,180,0,0,Gamepad,0
13:13.4,319.93,0,359.29,180,0,0,Gamepad,0
13:13.4,319.93,0,359.29,180,0,0,Gamepad,0
13:13.4,319.93,0,359.29,180,0,0,Gamepad,0
13:13.4,319.93,0,359.29,180,0,0,Gamepad,0
13:13.5,319.93,0,359.29,180,0,0,Gamepad,0
13:13.5,319.93,0,359.29,180,0,0,Gamepad,0
13:13.5,319.93,0,359.29,180,0,-0.9025,Gamepad,0
13:13.5,319.93,0,359.29,180,0,-0.9025,Gamepad,0
13:13.5,319.93,0,0.29,181,-359,-0.9025,Gamepad,0
13:13.6,319.93,0,2.29,183,2,-0.9025,Gamepad,0
13:13.6,326.12,6.19,4.29,185,2,-0.9025,Gamepad,0
13:13.6,327.15,1.03,6.29,187,2,-0.9025,Gamepad,0
13:13.6,338.83,11.68,7.29,188,1,-0.9025,Gamepad,0
13:13.6,341.24,2.41,8.29,189,1,-0.9025,Gamepad,0
13:13.7,348.45,7.21,10.29,191,2,-0.9025,Gamepad,0
13:13.7,359.11,10.66,10.29,191,0,-0.9025,Gamepad,0
13:13.7,361.51,2.4,11.29,192,1,-0.9025,Gamepad,0
13:13.7,372.51,11,10.29,191,-1,-0.9025,Gamepad,0
13:13.7,374.23,1.72,10.29,191,0,-0.9025,Gamepad,0
13:13.8,380.07,5.84,10.29,191,0,-0.9025,Gamepad,0
13:13.8,386.94,6.87,10.29,191,0,0,Gamepad,0
13:13.8,394.5,7.56,8.29,189,-2,0,Gamepad,0
13:13.8,405.5,11,6.29,187,-2,0.95,Gamepad,0
13:13.8,405.5,0,2.29,183,-4,0.95,Gamepad,0
13:13.8,405.5,0,357.29,178,355,0.95,Gamepad,0
13:13.9,403.09,-2.41,351.29,172,-6,0.95,Gamepad,0
13:13.9,397.25,-5.84,346.29,167,-5,0.95,Gamepad,0
13:13.9,394.16,-3.09,341.29,162,-5,0.95,Gamepad,0
13:13.9,381.79,-12.37,336.29,157,-5,0.95,Gamepad,0
13:14.0,373.54,-8.25,332.29,153,-4,0.95,Gamepad,0
13:14.0,365.64,-7.9,328.29,149,-4,0.95,Gamepad,0
13:14.0,357.39,-8.25,325.29,146,-3,0.95,Gamepad,0
13:14.0,348.8,-8.59,323.29,144,-2,0.95,Gamepad,0
13:14.0,345.36,-3.44,322.29,143,-1,0.95,Gamepad,0
13:14.1,332.65,-12.71,321.29,142,-1,0.95,Gamepad,0
13:14.1,324.05,-8.6,321.29,142,0,0.95,Gamepad,0
13:14.1,319.93,-4.12,322.29,143,1,0.95,Gamepad,0
13:14.1,311.68,-8.25,323.29,144,1,0.95,Gamepad,0
13:14.1,303.78,-7.9,326.29,147,3,0.95,Gamepad,0
13:14.2,291.75,-12.03,330.29,151,4,0.95,Gamepad,0
13:14.2,288.66,-3.09,334.29,155,4,0.95,Gamepad,0
13:14.2,277.32,-11.34,338.29,159,4,0.95,Gamepad,0
13:14.2,274.91,-2.41,343.29,164,5,0.95,Gamepad,0
13:14.2,263.23,-11.68,349.29,170,6,0,Gamepad,0
13:14.2,256.01,-7.22,355.29,176,6,0,Gamepad,0
13:14.3,253.61,-2.4,2.29,183,-353,-0.9025,Gamepad,0
13:14.3,245.36,-8.25,10.29,191,8,-0.9025,Gamepad,0
13:14.3,245.36,0,20.29,201,10,-0.9025,Gamepad,0
13:14.3,253.95,8.59,29.29,210,9,-0.9025,Gamepad,0
13:14.4,260.48,6.53,38.29,219,9,-0.9025,Gamepad,0
13:14.4,269.42,8.94,46.29,227,8,-0.9025,Gamepad,0
13:14.4,278.35,8.93,53.29,234,7,-0.9025,Gamepad,0
13:14.4,287.63,9.28,59.29,240,6,-0.9025,Gamepad,0
13:14.4,296.56,8.93,64.29,245,5,-0.9025,Gamepad,0
13:14.5,304.81,8.25,68.29,249,4,-0.9025,Gamepad,0
13:14.5,309.28,4.47,70.29,251,2,-0.9025,Gamepad,0
13:14.5,317.53,8.25,71.29,252,1,-0.9025,Gamepad,0
13:14.5,326.46,8.93,71.29,252,0,-0.9025,Gamepad,0
13:14.5,335.74,9.28,69.29,250,-2,-0.9025,Gamepad,0
13:14.5,344.67,8.93,67.29,248,-2,-0.9025,Gamepad,0
13:14.6,353.26,8.59,63.29,244,-4,-0.9025,Gamepad,0
13:14.6,362.2,8.94,58.29,239,-5,-0.9025,Gamepad,0
13:14.6,370.1,7.9,52.29,233,-6,-0.9025,Gamepad,0
13:14.6,378.35,8.25,44.29,225,-8,-0.9025,Gamepad,0
13:14.7,386.94,8.59,37.29,218,-7,-0.9025,Gamepad,0
13:14.7,395.53,8.59,28.29,209,-9,-0.9025,Gamepad,0
13:14.7,403.78,8.25,19.29,200,-9,-0.9025,Gamepad,0
13:14.7,412.03,8.25,9.29,190,-10,-0.9025,Gamepad,0
13:14.7,424.4,12.37,359.29,180,350,-0.9025,Gamepad,0
13:14.8,432.3,7.9,349.29,170,-10,-0.9025,Gamepad,0
13:14.8,439.86,7.56,340.29,161,-9,-0.9025,Gamepad,0
13:14.8,447.77,7.91,332.29,153,-8,0,Gamepad,0
13:14.8,455.67,7.9,323.29,144,-9,0,Gamepad,0
13:14.8,460.14,4.47,314.29,135,-9,0.95,Gamepad,0
13:14.9,469.42,9.28,305.29,126,-9,0.95,Gamepad,0
13:14.9,469.42,0,297.29,118,-8,0.95,Gamepad,0
13:14.9,467.35,-2.07,289.29,110,-8,0.95,Gamepad,0
13:14.9,461.51,-5.84,282.29,103,-7,0.95,Gamepad,0
13:14.9,454.3,-7.21,278.29,99,-4,0.95,Gamepad,0
13:15.0,442.96,-11.34,274.29,95,-4,0.95,Gamepad,0
13:15.0,434.36,-8.6,271.29,92,-3,0.95,Gamepad,0
13:15.0,426.12,-8.24,270.29,91,-1,0.95,Gamepad,0
13:15.0,417.53,-8.59,270.29,91,0,0.95,Gamepad,0
13:15.0,408.59,-8.94,271.29,92,1,0.95,Gamepad,0
13:15.1,400,-8.59,274.29,95,3,0.95,Gamepad,0
13:15.1,391.75,-8.25,278.29,99,4,0.95,Gamepad,0
13:15.1,382.82,-8.93,283.29,104,5,0.95,Gamepad,0
13:15.1,373.54,-9.28,289.29,110,6,0.95,Gamepad,0
13:15.1,364.6,-8.94,297.29,118,8,0.95,Gamepad,0
13:15.2,360.48,-4.12,305.29,126,8,0.95,Gamepad,0
13:15.2,347.08,-13.4,315.29,136,10,0.95,Gamepad,0
13:15.2,338.49,-8.59,325.29,146,10,0.95,Gamepad,0
13:15.2,330.24,-8.25,337.29,158,12,0.95,Gamepad,0
13:15.2,321.99,-8.25,347.29,168,10,0.95,Gamepad,0
13:15.3,317.53,-4.46,359.29,180,12,0.95,Gamepad,0
13:15.3,309.62,-7.91,10.29,191,-349,0.95,Gamepad,0
13:15.3,301.37,-8.25,22.29,203,12,0.95,Gamepad,0
13:15.3,287.97,-13.4,32.29,213,10,0.95,Gamepad,0
13:15.3,283.85,-4.12,42.29,223,10,0.95,Gamepad,0
13:15.3,274.91,-8.94,51.29,232,9,0.95,Gamepad,0
13:15.4,265.29,-9.62,58.29,239,7,0.95,Gamepad,0
13:15.4,250.86,-14.43,64.29,245,6,0.95,Gamepad,0
13:15.4,245.36,-5.5,70.29,251,6,0,Gamepad,0
13:15.4,230.93,-14.43,73.29,254,3,-0.9025,Gamepad,0
13:15.5,225.43,-5.5,77.29,258,4,-0.9025,Gamepad,0
13:15.5,218.21,-7.22,79.29,260,2,-0.9025,Gamepad,0
13:15.5,218.21,0,80.29,261,1,-0.9025,Gamepad,0
13:15.5,223.02,4.81,80.29,261,0,-0.9025,Gamepad,0
13:15.5,230.24,7.22,78.29,259,-2,-0.9025,Gamepad,0
13:15.6,234.02,3.78,76.29,257,-2,-0.9025,Gamepad,0
13:15.6,248.45,14.43,72.29,253,-4,-0.9025,Gamepad,0
13:15.6,258.42,9.97,67.29,248,-5,-0.9025,Gamepad,0
13:15.6,268.73,10.31,61.29,242,-6,-0.9025,Gamepad,0
13:15.6,279.04,10.31,53.29,234,-8,-0.9025,Gamepad,0
13:15.7,288.66,9.62,45.29,226,-8,-0.9025,Gamepad,0
13:15.7,298.28,9.62,36.29,217,-9,-0.9025,Gamepad,0
13:15.7,303.09,4.81,26.29,207,-10,-0.9025,Gamepad,0
13:15.7,316.49,13.4,16.29,197,-10,-0.9025,Gamepad,0
13:15.7,325.43,8.94,5.29,186,-11,-0.9025,Gamepad,0
13:15.8,335.05,9.62,355.29,176,350,-0.9025,Gamepad,0
13:15.8,339.86,4.81,344.29,165,-11,-0.9025,Gamepad,0
13:15.8,348.8,8.94,334.29,155,-10,-0.9025,Gamepad,0
13:15.8,358.42,9.62,325.29,146,-9,-0.9025,Gamepad,0
13:15.8,371.82,13.4,316.29,137,-9,-0.9025,Gamepad,0
13:15.9,376.63,4.81,308.29,129,-8,-0.9025,Gamepad,0
13:15.9,386.25,9.62,301.29,122,-7,-0.9025,Gamepad,0
13:15.9,396.56,10.31,296.29,117,-5,-0.9025,Gamepad,0
13:15.9,410.31,13.75,292.29,113,-4,-0.9025,Gamepad,0
13:15.9,417.18,6.87,288.29,109,-4,-0.9025,Gamepad,0
13:16.0,426.8,9.62,286.29,107,-2,-0.9025,Gamepad,0
13:16.0,436.08,9.28,286.29,107,0,-0.9025,Gamepad,0
13:16.0,445.7,9.62,286.29,107,0,-0.9025,Gamepad,0
13:16.0,455.33,9.63,288.29,109,2,-0.9025,Gamepad,0
13:16.0,465.29,9.96,291.29,112,3,-0.9025,Gamepad,0
13:16.1,479.73,14.44,295.29,116,4,-0.9025,Gamepad,0
13:16.1,489.35,9.62,300.29,121,5,-0.9025,Gamepad,0
13:16.1,490.38,1.03,306.29,127,6,-0.9025,Gamepad,0
13:16.1,495.19,4.81,313.29,134,7,-0.9025,Gamepad,0
13:16.1,512.03,16.84,322.29,143,9,-0.9025,Gamepad,0
13:16.2,524.74,12.71,329.29,150,7,-0.9025,Gamepad,0
13:16.2,528.18,3.44,336.29,157,7,-0.9025,Gamepad,0
13:16.2,528.18,0,343.29,164,7,-0.9025,Gamepad,0
13:16.2,535.4,7.22,350.29,171,7,-0.9025,Gamepad,0
13:16.2,535.74,0.34,358.29,179,8,-0.9025,Gamepad,0
13:16.3,535.4,-0.34,6.29,187,-352,-0.9025,Gamepad,0
13:16.3,535.74,0.34,13.29,194,7,-0.9025,Gamepad,0
13:16.3,535.74,0,20.29,201,7,-0.9025,Gamepad,0
13:16.3,535.74,0,27.29,208,7,-0.9025,Gamepad,0
13:16.3,535.74,0,33.29,214,6,-0.9025,Gamepad,0
13:16.4,535.4,-0.34,38.29,219,5,-0.9025,Gamepad,0
13:16.4,535.74,0.34,42.29,223,4,-0.9025,Gamepad,0
13:16.4,535.74,0,46.29,227,4,-0.9025,Gamepad,0
13:16.4,535.74,0,48.29,229,2,-0.9025,Gamepad,0
13:16.4,535.74,0,50.29,231,2,-0.9025,Gamepad,0
13:16.5,535.74,0,50.29,231,0,-0.9025,Gamepad,0
13:16.5,535.74,0,49.29,230,-1,-0.9025,Gamepad,0
13:16.5,535.74,0,47.29,228,-2,0,Gamepad,0
13:16.5,535.74,0,45.29,226,-2,0,Gamepad,0
13:16.5,535.4,-0.34,41.29,222,-4,0,Gamepad,0
13:16.5,535.74,0.34,37.29,218,-4,0,Gamepad,0
13:16.6,535.74,0,32.29,213,-5,0,Gamepad,0
13:16.6,535.74,0,26.29,207,-6,0,Gamepad,0
13:16.6,535.74,0,19.29,200,-7,0,Gamepad,0
13:16.6,535.4,-0.34,13.29,194,-6,0,Gamepad,0
13:16.7,535.4,0,6.29,187,-7,0,Gamepad,0
13:16.7,535.4,0,359.29,180,353,0,Gamepad,0
13:16.7,535.74,0.34,352.29,173,-7,0,Gamepad,0
13:16.7,535.4,-0.34,345.29,166,-7,0,Gamepad,0
13:16.7,535.4,0,340.29,161,-5,0,Gamepad,0
13:16.8,535.4,0,334.29,155,-6,0,Gamepad,0
13:16.8,535.4,0,328.29,149,-6,0,Gamepad,0
13:16.8,535.74,0.34,323.29,144,-5,0,Gamepad,0
13:16.8,535.74,0,320.29,141,-3,0,Gamepad,0
13:16.8,535.74,0,317.29,138,-3,0,Gamepad,0
13:16.8,535.74,0,315.29,136,-2,0,Gamepad,0
13:16.9,535.4,-0.34,313.29,134,-2,0,Gamepad,0
13:16.9,535.4,0,313.29,134,0,0,Gamepad,0
13:16.9,535.4,0,314.29,135,1,0,Gamepad,0
13:16.9,535.4,0,316.29,137,2,0,Gamepad,0
13:17.0,535.4,0,318.29,139,2,0,Gamepad,0
13:17.0,535.4,0,322.29,143,4,0,Gamepad,0
13:17.0,535.4,0,326.29,147,4,0,Gamepad,0
13:17.0,535.4,0,330.29,151,4,0,Gamepad,0
13:17.0,535.4,0,336.29,157,6,0,Gamepad,0
13:17.1,535.4,0,341.29,162,5,0,Gamepad,0
13:17.1,535.4,0,348.29,169,7,0,Gamepad,0
13:17.1,535.4,0,354.29,175,6,0,Gamepad,0
13:17.1,535.74,0.34,1.29,182,-353,0,Gamepad,0
13:17.1,535.74,0,7.29,188,6,0,Gamepad,0
13:17.2,535.74,0,13.29,194,6,0,Gamepad,0
13:17.2,535.74,0,19.29,200,6,0,Gamepad,0
13:17.2,535.4,-0.34,25.29,206,6,0,Gamepad,0
13:17.2,535.4,0,29.29,210,4,0,Gamepad,0
13:17.2,535.4,0,33.29,214,4,0,Gamepad,0
13:17.3,535.4,0,36.29,217,3,0,Gamepad,0
13:17.3,535.74,0.34,39.29,220,3,0,Gamepad,0
13:17.3,535.74,0,40.29,221,1,0,Gamepad,0
13:17.3,535.74,0,41.29,222,1,0,Gamepad,0
13:17.3,535.74,0,40.29,221,-1,0,Gamepad,0
13:17.4,535.74,0,39.29,220,-1,0.95,Gamepad,0
13:17.4,535.74,0,37.29,218,-2,0.95,Gamepad,0
13:17.4,535.74,0,33.29,214,-4,0.95,Gamepad,0
13:17.4,524.74,-11,28.29,209,-5,0.95,Gamepad,0
13:17.4,519.93,-4.81,22.29,203,-6,0.95,Gamepad,0
13:17.5,512.37,-7.56,15.29,196,-7,0.95,Gamepad,0
13:17.5,503.78,-8.59,8.29,189,-7,0.95,Gamepad,0
13:17.5,498.97,-4.81,1.29,182,-7,0.95,Gamepad,0
13:17.5,493.47,-5.5,353.29,174,352,0.95,Gamepad,0
13:17.5,483.51,-9.96,346.29,167,-7,0.95,Gamepad,0
13:17.6,474.91,-8.6,340.29,161,-6,0.95,Gamepad,0
13:17.6,465.64,-9.27,334.29,155,-6,0.95,Gamepad,0
13:17.6,457.39,-8.25,328.29,149,-6,0.95,Gamepad,0
13:17.6,448.11,-9.28,323.29,144,-5,0.95,Gamepad,0
13:17.6,439.86,-8.25,319.29,140,-4,0.95,Gamepad,0
13:17.7,427.15,-12.71,316.29,137,-3,0.95,Gamepad,0
13:17.7,423.02,-4.13,313.29,134,-3,0.95,Gamepad,0
13:17.7,414.43,-8.59,312.29,133,-1,0.95,Gamepad,0
13:17.7,401.72,-12.71,312.29,133,0,0.95,Gamepad,0
13:17.7,397.94,-3.78,312.29,133,0,0.95,Gamepad,0
13:17.8,384.54,-13.4,314.29,135,2,0.95,Gamepad,0
13:17.8,375.95,-8.59,316.29,137,2,0.95,Gamepad,0
13:17.8,371.82,-4.13,319.29,140,3,0.95,Gamepad,0
13:17.8,358.42,-13.4,323.29,144,4,0.95,Gamepad,0
13:17.8,349.48,-8.94,328.29,149,5,0.95,Gamepad,0
13:17.9,340.55,-8.93,333.29,154,5,0.95,Gamepad,0
13:17.9,336.43,-4.12,339.29,160,6,0.95,Gamepad,0
13:17.9,322.34,-14.09,345.29,166,6,0.95,Gamepad,0
13:17.9,317.53,-4.81,351.29,172,6,0.95,Gamepad,0
13:17.9,308.59,-8.94,358.29,179,7,0.95,Gamepad,0
13:18.0,298.97,-9.62,5.29,186,-353,0.95,Gamepad,0
13:18.0,290.03,-8.94,11.29,192,6,0.95,Gamepad,0
13:18.0,280.76,-9.27,17.29,198,6,0.95,Gamepad,0
13:18.0,267.35,-13.41,22.29,203,5,0.95,Gamepad,0
13:18.0,258.08,-9.27,27.29,208,5,0.95,Gamepad,0
13:18.1,248.45,-9.63,31.29,212,4,0.95,Gamepad,0
13:18.1,238.49,-9.96,34.29,215,3,0.95,Gamepad,0
13:18.1,233.33,-5.16,37.29,218,3,0.95,Gamepad,0
13:18.1,218.9,-14.43,39.29,220,2,0.95,Gamepad,0
13:18.1,213.4,-5.5,40.29,221,1,0.95,Gamepad,0
13:18.2,203.78,-9.62,39.29,220,-1,0.95,Gamepad,0
13:18.2,193.47,-10.31,39.29,220,0,0.95,Gamepad,0
13:18.2,183.16,-10.31,37.29,218,-2,0.95,Gamepad,0
13:18.2,173.54,-9.62,34.29,215,-3,0.95,Gamepad,0
13:18.2,163.92,-9.62,32.29,213,-2,0.95,Gamepad,0
13:18.3,154.3,-9.62,27.29,208,-5,0.95,Gamepad,0
13:18.3,144.67,-9.63,23.29,204,-4,0.95,Gamepad,0
13:18.3,135.74,-8.93,18.29,199,-5,0.95,Gamepad,0
13:18.3,125.43,-10.31,14.29,195,-4,0.95,Gamepad,0
13:18.3,116.49,-8.94,10.29,191,-4,0.95,Gamepad,0
13:18.4,109.28,-7.21,7.29,188,-3,0.95,Gamepad,0
13:18.4,107.9,-1.38,4.29,185,-3,0.95,Gamepad,0
13:18.4,107.9,0,2.29,183,-2,0.95,Gamepad,0
13:18.4,108.59,0.69,359.29,180,357,0.95,Gamepad,0
13:18.4,108.59,0,356.29,177,-3,0.95,Gamepad,0
13:18.5,108.59,0,353.29,174,-3,0.95,Gamepad,0
13:18.5,108.59,0,350.29,171,-3,0.95,Gamepad,0
13:18.5,109.28,0.69,348.29,169,-2,0.95,Gamepad,0
13:18.5,109.28,0,346.29,167,-2,0.95,Gamepad,0
13:18.5,109.28,0,344.29,165,-2,0.95,Gamepad,0
13:18.6,113.4,4.12,343.29,164,-1,0.95,Gamepad,0
13:18.6,113.4,0,342.29,163,-1,0.95,Gamepad,0
13:18.6,108.59,-4.81,341.29,162,-1,0.95,Gamepad,0
13:18.6,108.59,0,341.29,162,0,0.95,Gamepad,0
13:18.6,109.28,0.69,341.29,162,0,0.95,Gamepad,0
13:18.7,109.28,0,341.29,162,0,0,Gamepad,0
13:18.7,109.28,0,342.29,163,1,0,Gamepad,0
13:18.7,109.28,0,344.29,165,2,0,Gamepad,0
13:18.7,109.28,0,345.29,166,1,0,Gamepad,0
13:18.7,109.28,0,347.29,168,2,0,Gamepad,0
13:18.8,109.28,0,349.29,170,2,0,Gamepad,0
13:18.8,109.28,0,352.29,173,3,0,Gamepad,0
13:18.8,109.28,0,354.29,175,2,0,Gamepad,0
13:18.8,109.28,0,357.29,178,3,0,Gamepad,0
13:18.8,109.28,0,359.29,180,2,0,Gamepad,0
13:18.9,109.28,0,2.29,183,-357,0,Gamepad,0
13:18.9,109.28,0,4.29,185,2,0,Gamepad,0
13:18.9,109.28,0,6.29,187,2,0,Gamepad,0
13:18.9,109.28,0,8.29,189,2,0,Gamepad,0
13:18.9,109.28,0,10.29,191,2,0,Gamepad,0
13:19.0,109.28,0,12.29,193,2,0,Gamepad,0
13:19.0,109.28,0,13.29,194,1,0,Gamepad,0
13:19.0,109.28,0,13.29,194,0,0,Gamepad,0
13:19.0,109.28,0,14.29,195,1,0,Gamepad,0
13:19.0,109.28,0,14.29,195,0,0,Gamepad,0
13:19.1,109.28,0,13.29,194,-1,0,Gamepad,0
13:19.1,109.28,0,13.29,194,0,0,Gamepad,0
13:19.1,109.28,0,12.29,193,-1,0,Gamepad,0
